ID,revolutions,humidity,vibration,x1,x2,x3,x4,x5,Hour_Bin,vib_lag1,vib_lag4,vib_lag16,vib_lag32,rev_lag1,rev_lag4,roll_mean_16,roll_std_16,roll_mean_64,roll_std_64,roll_max_16,is_high_rev
96,93.377,73.968,18.1,167.345,19.409,1.262397253,8719.264129,5471.265024,1,18.09,18.09,18.08,18.06,93.381,93.393,18.076875,0.030489069079488,18.0578125,0.0260322602059175,18.1,1
97,93.374,73.968,18.1,167.342,19.406,1.262356695,8718.703876,5471.265024,1,18.1,18.09,18.0,18.06,93.377,93.389,18.083125,0.0230126776654493,18.05890625,0.0263141694885672,18.1,1
98,93.37,73.967,18.1,167.337,19.403,1.262319683,8717.9569,5471.117089,1,18.1,18.09,18.08,18.07,93.374,93.385,18.084375,0.0233719917850523,18.06,0.026547352123365,18.1,1
99,93.366,73.967,18.1,167.333,19.399,1.262265605,8717.209956,5471.117089,1,18.1,18.09,18.08,18.07,93.37,93.381,18.085625,0.0236555138040564,18.06109375,0.0267330832134131,18.1,1
100,93.362,73.967,18.1,167.329,19.395,1.262211527,8716.463044,5471.117089,1,18.1,18.1,18.08,18.07,93.366,93.377,18.086875,0.0238659450542803,18.062031249999997,0.0270320026388482,18.1,1
101,93.358,73.966,18.0,167.324,19.392,1.262174513,8715.716164,5470.969156,1,18.1,18.1,18.08,18.07,93.362,93.374,18.081875,0.0322942203291423,18.061406249999997,0.0279947380259735,18.1,1
102,93.354,73.966,18.1,167.32,19.388,1.262120434,8714.969316,5470.969156,1,18.0,18.1,18.09,18.07,93.358,93.37,18.0825,0.0325576411922076,18.06234375,0.0282697992143396,18.1,1
103,93.35,73.966,18.1,167.316,19.384,1.262066355,8714.2225,5470.969156,1,18.1,18.1,18.09,18.0,93.354,93.366,18.083125000000003,0.0328062494046568,18.06328125,0.0285109106099675,18.1,1
104,93.347,73.965,18.1,167.312,19.382,1.262042858,8713.662409,5470.821225,1,18.1,18.1,18.09,18.07,93.35,93.362,18.08375,0.0330403793360067,18.06421875,0.028718927307863,18.1,1
105,93.343,73.965,18.1,167.308,19.378,1.261988778,8712.915649,5470.821225,1,18.1,18.0,18.09,18.07,93.347,93.358,18.084375,0.0332603367391336,18.06578125,0.0278775489972714,18.1,1
106,93.339,73.965,18.11,167.304,19.374,1.261934699,8712.168921,5470.821225,1,18.1,18.1,18.09,18.07,93.343,93.354,18.085625000000004,0.033856314034469,18.066875,0.0282210660930553,18.11,1
107,93.335,73.964,18.11,167.299,19.371,1.26189768,8711.422225,5470.673296,1,18.11,18.1,18.0,18.07,93.339,93.35,18.0925,0.0254296414970273,18.06796875,0.0285178689457393,18.11,1
108,93.331,73.964,18.11,167.295,19.367,1.2618436,8710.675561,5470.673296,1,18.11,18.1,18.09,18.08,93.335,93.347,18.09375,0.0257875939164685,18.0690625,0.0287694033902092,18.11,1
109,93.327,73.964,18.11,167.291,19.363,1.261789519,8709.928929,5470.673296,1,18.11,18.1,18.09,18.08,93.331,93.343,18.095,0.026076809620824,18.07015625,0.0289768483119756,18.11,1
110,93.323,73.963,18.11,167.286,19.36,1.261752498,8709.182329,5470.525369,1,18.11,18.11,18.09,18.08,93.327,93.339,18.09625,0.0262995563967792,18.07109375,0.0292833550153047,18.11,1
111,93.32,73.963,18.0,167.283,19.357,1.261711937,8708.6224,5470.525369,1,18.11,18.11,18.09,18.08,93.323,93.335,18.090625000000003,0.0356779577143554,18.0703125,0.0304968772796416,18.11,1
112,93.316,73.963,18.11,167.279,19.353,1.261657856,8707.875856,5470.525369,1,18.0,18.11,18.1,18.08,93.32,93.331,18.09125,0.0359397644214223,18.071250000000003,0.0307834216359884,18.11,1
113,93.312,73.962,18.11,167.274,19.35,1.261620832,8707.129344,5470.377444,1,18.11,18.11,18.1,18.0,93.316,93.327,18.091875,0.0361881656530696,18.0721875,0.0310385704751821,18.11,1
114,93.308,73.962,18.11,167.27,19.346,1.26156675,8706.382864,5470.377444,1,18.11,18.11,18.1,18.08,93.312,93.323,18.0925,0.0364234356790699,18.073124999999997,0.03126309249548,18.11,1
115,93.304,73.962,18.11,167.266,19.342,1.261512669,8705.636416,5470.377444,1,18.11,18.0,18.1,18.08,93.308,93.32,18.093125,0.0366458274114167,18.07484375,0.0301842062927584,18.11,1
116,93.3,73.962,18.12,167.262,19.338,1.261458587,8704.89,5470.377444,1,18.11,18.11,18.1,18.08,93.304,93.316,18.094375,0.0372323783822722,18.0759375,0.0305358883314447,18.12,1
117,93.296,73.961,18.12,167.257,19.335,1.26142156,8704.143616,5470.229521,1,18.12,18.11,18.0,18.08,93.3,93.312,18.101875,0.0278612634315237,18.07703125,0.0308441904951578,18.12,1
118,93.293,73.961,18.12,167.254,19.332,1.261380998,8703.583849,5470.229521,1,18.12,18.11,18.1,18.09,93.296,93.308,18.103125,0.0282179021190586,18.078125,0.0311104024862609,18.12,1
119,93.289,73.961,18.12,167.25,19.328,1.261326916,8702.837521,5470.229521,1,18.12,18.11,18.1,18.09,93.293,93.304,18.104374999999997,0.028511693507532,18.07921875,0.0313355970560185,18.12,1
120,93.285,73.96,18.12,167.245,19.325,1.261289886,8702.091225,5470.0816,1,18.12,18.12,18.1,18.09,93.289,93.3,18.105625,0.0287445647036234,18.08015625,0.0316474722529307,18.12,1
121,93.281,73.96,18.0,167.241,19.321,1.261235803,8701.344961,5470.0816,1,18.12,18.12,18.1,18.09,93.285,93.296,18.099375,0.0390672497112443,18.07921875,0.0331089920889005,18.12,1
122,93.277,73.96,18.12,167.237,19.317,1.26118172,8700.598729,5470.0816,1,18.0,18.12,18.11,18.09,93.281,93.293,18.1,0.0393276832100162,18.08015625,0.0334043143064744,18.12,1
123,93.273,73.959,18.12,167.232,19.314,1.261144688,8699.852529,5469.933681,1,18.12,18.12,18.11,18.0,93.277,93.289,18.100625,0.0395758764906191,18.081093749999997,0.0336705413847605,18.12,1
124,93.269,73.959,18.12,167.228,19.31,1.261090604,8699.106361,5469.933681,1,18.12,18.12,18.11,18.09,93.273,93.285,18.10125,0.0398120584747981,18.08203125,0.0339083586408173,18.12,1
125,93.266,73.959,18.12,167.225,19.307,1.261050041,8698.546756,5469.933681,1,18.12,18.0,18.11,18.09,93.269,93.281,18.101875,0.0400364417333436,18.08390625,0.0325925878953219,18.12,1
126,93.262,73.958,18.13,167.22,19.304,1.261013007,8697.800644,5469.785764,1,18.12,18.12,18.11,18.09,93.266,93.277,18.103125,0.0406150628872355,18.085,0.0329501788419164,18.13,1
127,93.258,73.958,18.13,167.216,19.3,1.260958923,8697.054564,5469.785764,1,18.13,18.12,18.0,18.09,93.262,93.273,18.11125,0.0303040151355257,18.08609375,0.0332674199504367,18.13,1
128,93.254,73.958,18.13,167.212,19.296,1.260904838,8696.308516,5469.785764,1,18.13,18.12,18.11,18.1,93.258,93.269,18.1125,0.0306594194335256,18.0871875,0.033545456011919,18.13,1
129,93.25,73.957,18.13,167.207,19.293,1.260867802,8695.5625,5469.637849,1,18.13,18.12,18.11,18.1,93.254,93.266,18.11375,0.0309569593683585,18.08828125,0.0337852549550972,18.13,1
130,93.246,73.957,18.13,167.203,19.289,1.260813716,8694.816516,5469.637849,1,18.13,18.13,18.11,18.1,93.25,93.262,18.115,0.0311982905514743,18.08921875,0.0341009094278948,18.13,1
131,93.242,73.957,18.13,167.199,19.285,1.260759631,8694.070564,5469.637849,1,18.13,18.13,18.11,18.1,93.246,93.258,18.116249999999997,0.0313847096529646,18.09015625,0.0343877140989677,18.13,1
132,93.239,73.956,18.13,167.195,19.283,1.260736113,8693.511121,5469.489936,1,18.13,18.13,18.12,18.1,93.242,93.254,18.116875,0.0315634282041875,18.09109375,0.0346463854364271,18.13,1
133,93.235,73.956,18.13,167.191,19.279,1.260682027,8692.765225,5469.489936,1,18.13,18.13,18.12,18.0,93.239,93.25,18.1175,0.031728010758123,18.09203125,0.034877549403318,18.13,1
134,93.231,73.956,18.13,167.187,19.275,1.260627941,8692.019361,5469.489936,1,18.13,18.13,18.12,18.1,93.235,93.246,18.118125000000003,0.0318786762586045,18.09296875,0.0350817497663186,18.13,1
135,93.227,73.955,18.13,167.182,19.272,1.2605909,8691.273529,5469.342025,1,18.13,18.13,18.12,18.1,93.231,93.242,18.11875,0.0320156211871787,18.095,0.033333333333332,18.13,1
136,93.223,73.955,18.14,167.178,19.268,1.260536813,8690.527729,5469.342025,1,18.13,18.13,18.12,18.1,93.227,93.239,18.12,0.0324550971857161,18.09609375,0.0336469620553692,18.14,1
137,93.219,73.955,18.14,167.174,19.264,1.260482726,8689.781961,5469.342025,1,18.14,18.13,18.0,18.1,93.223,93.235,18.12875,0.0061913918737548,18.0971875,0.0339218873950778,18.14,1
138,93.215,73.954,18.14,167.169,19.261,1.260445682,8689.036225,5469.194116,1,18.14,18.13,18.12,18.11,93.219,93.231,18.13,0.0063245553204227,18.09828125,0.0341590438650976,18.14,1
139,93.212,73.954,18.14,167.166,19.258,1.260405117,8688.476944,5469.194116,1,18.14,18.13,18.12,18.11,93.215,93.227,18.13125,0.0061913918737584,18.099375,0.0343592135468121,18.14,1
140,93.208,73.954,18.14,167.162,19.254,1.260351029,8687.731264,5469.194116,1,18.14,18.14,18.12,18.11,93.212,93.223,18.1325,0.0057735026919937,18.1003125,0.034639584201469,18.14,1
141,93.204,73.953,18.14,167.157,19.251,1.260313983,8686.985616,5469.046209,1,18.14,18.14,18.12,18.11,93.208,93.219,18.13375,0.0050000000001147,18.10125,0.0348921240032787,18.14,1
142,93.2,73.953,18.14,167.153,19.247,1.260259895,8686.24,5469.046209,1,18.14,18.14,18.13,18.11,93.204,93.215,18.134375,0.0051234753830925,18.1021875,0.0351174333769423,18.14,1
143,93.196,73.953,18.14,167.149,19.243,1.260205806,8685.494416,5469.046209,1,18.14,18.14,18.13,18.0,93.2,93.212,18.135,0.0051639777950557,18.103125,0.035316033500693,18.14,1
144,93.192,73.952,18.14,167.144,19.24,1.260168758,8684.748864,5468.898304,1,18.14,18.14,18.13,18.11,93.196,93.208,18.135625,0.0051234753830938,18.1040625,0.0354883727884845,18.14,1
145,93.188,73.952,18.14,167.14,19.236,1.260114669,8684.003344,5468.898304,1,18.14,18.14,18.13,18.11,93.192,93.204,18.13625,0.0050000000001177,18.10625,0.0332140723666105,18.14,1
146,93.185,73.952,18.15,167.137,19.233,1.260074102,8683.444225,5468.898304,1,18.14,18.14,18.13,18.11,93.188,93.2,18.137500000000003,0.0057735026919995,18.10734375,0.0334873673172601,18.15,1
147,93.181,73.951,18.15,167.132,19.23,1.260037052,8682.698761,5468.750401,1,18.15,18.14,18.13,18.11,93.185,93.196,18.13875,0.0061913918737668,18.1084375,0.0337224314211209,18.15,1
148,93.177,73.951,18.15,167.128,19.226,1.259982962,8681.953329,5468.750401,1,18.15,18.14,18.13,18.12,93.181,93.192,18.14,0.0063245553204344,18.10953125,0.0339200595003569,18.15,1
149,93.173,73.951,18.15,167.124,19.222,1.259928872,8681.207929,5468.750401,1,18.15,18.14,18.13,18.12,93.177,93.188,18.141250000000003,0.0061913918737703,18.110625,0.0340809028123926,18.15,1
150,93.169,73.95,18.15,167.119,19.219,1.259891819,8680.462561,5468.6025,1,18.15,18.15,18.13,18.12,93.173,93.185,18.1425,0.0057735026920065,18.1115625,0.0343288832067406,18.15,1
151,93.165,73.95,18.15,167.115,19.215,1.259837728,8679.717225,5468.6025,1,18.15,18.15,18.13,18.12,93.169,93.181,18.143749999999997,0.0050000000001294,18.1125,0.0345492517089822,18.15,1
152,93.161,73.95,18.15,167.111,19.211,1.259783638,8678.971921,5468.6025,1,18.15,18.15,18.14,18.12,93.165,93.177,18.144375,0.0051234753831075,18.1134375,0.0347425337417044,18.15,1
153,93.158,73.949,18.15,167.107,19.209,1.259760105,8678.412964,5468.454601,1,18.15,18.15,18.14,18.0,93.161,93.173,18.145,0.0051639777950712,18.114375000000003,0.0349091792176586,18.15,1
154,93.154,73.949,18.15,167.103,19.205,1.259706014,8677.667716,5468.454601,1,18.15,18.15,18.14,18.12,93.158,93.169,18.145625000000003,0.0051234753831101,18.1153125,0.0350495680746858,18.15,1
155,93.15,73.949,18.15,167.099,19.201,1.259651922,8676.9225,5468.454601,1,18.15,18.15,18.14,18.12,93.154,93.165,18.14625,0.0050000000001352,18.11765625,0.0321080609717385,18.15,1
156,93.146,73.948,18.16,167.094,19.198,1.259614864,8676.177316,5468.306704,1,18.15,18.15,18.14,18.12,93.15,93.161,18.147499999999997,0.0057735026920162,18.11875,0.0323424140414957,18.16,1
157,93.142,73.948,18.16,167.09,19.194,1.259560772,8675.432164,5468.306704,1,18.16,18.15,18.14,18.12,93.146,93.158,18.14875,0.0061913918737838,18.11984375,0.0325377527979829,18.16,1
158,93.138,73.948,18.16,167.086,19.19,1.25950668,8674.687044,5468.306704,1,18.16,18.15,18.14,18.13,93.142,93.154,18.15,0.0063245553204525,18.1209375,0.0326947765353764,18.16,1
159,93.134,73.947,18.16,167.081,19.187,1.25946962,8673.941956,5468.158809,1,18.16,18.15,18.14,18.13,93.138,93.15,18.151249999999997,0.0061913918737909,18.122031250000003,0.032814035300435,18.16,1
160,93.131,73.947,18.16,167.078,19.184,1.259429051,8673.383161,5468.158809,1,18.16,18.16,18.14,18.13,93.134,93.146,18.1525,0.0057735026920308,18.12296875,0.0330309949438993,18.16,1
161,93.127,73.947,18.16,167.074,19.18,1.259374958,8672.638129,5468.158809,1,18.16,18.16,18.14,18.13,93.131,93.142,18.15375,0.0050000000001593,18.12390625,0.03321967228893,18.16,1
162,93.123,73.947,18.16,167.07,19.176,1.259320865,8671.893129,5468.158809,1,18.16,18.16,18.15,18.13,93.127,93.138,18.154375,0.0051234753831373,18.124843749999997,0.0333805469202976,18.16,1
163,93.119,73.946,18.16,167.065,19.173,1.259283802,8671.148161,5468.010916,1,18.16,18.16,18.15,18.13,93.123,93.134,18.155,0.0051639777951015,18.12578125,0.0335140192177357,18.16,1
164,93.115,73.946,18.16,167.061,19.169,1.259229708,8670.403225,5468.010916,1,18.16,18.16,18.15,18.13,93.119,93.131,18.155625,0.0051234753831412,18.12671875,0.0336204155427861,18.16,1
165,93.111,73.946,18.16,167.057,19.165,1.259175615,8669.658321,5468.010916,1,18.16,18.16,18.15,18.13,93.115,93.127,18.15625,0.0050000000001672,18.12921875,0.0297771984514798,18.16,1
166,93.107,73.945,18.17,167.052,19.162,1.259138549,8668.913449,5467.863025,1,18.16,18.16,18.15,18.13,93.111,93.123,18.1575,0.0057735026920445,18.1303125,0.0299718783539379,18.17,1
